REFERENCIA;DESCRICAO;DATA_CADASTRO;UNIDADE;ATIVO;GRUPO;MARCA;GENERO;MATERIAL;TIPO_REPOSICAO;FORNECEDOR_TAG;FORNECEDOR_CNPJ;PRECO_CUSTO;FOTO
19.907.34.KIT;CASACO URUCUM;03/08/2018;PC;S;CASACO FEMIN;OUTROS;FEM;ALGODÃO;;MALHARIA MARE IND E COM DE CONFEC LTDA;;118.85;
15.134.15.MEN;BOLSA GAROA;21/06/2020;PC;S;BOLSA FEMIN;ZENITE L;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;253.16;
88.078.74.XPT;SAPATO RAIZ MASC;23/03/2020;UN;N;CALÇADO MASC;MARE ALTA N;MASC;ALGODÃO;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;159.50;
58.314.00.000;JAQUETA LUMIERE;11/01/2024;PC;S;JAQUETA FEMIN;MARE ALTA PROMO;FEM;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;158.54;
88.727.21.XPT;CASACO SAVANA;03/10/2023;PAR;N;CASACO FEMIN;JUREMA L;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;134.65;
80.653.57.ABC;POLO ORLA MASC;16/07/2025;PC;S;POLO MASC;ICARO N;MASC;OUTROS;;PONTO CERTO IND E COM DE CONFEC LTDA;;228.61;
00.652.97.KIT;BLAZER QUINTAL MASC;13/07/2019;PAR;N;BLAZER FEMIN;GAROA L;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;58.65;
32.020.77.ABC;VESTIDO VENTO LESTE MASC;11/01/2018;PAR;N;VESTIDO UNICO FEMIN;ICARO L;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;12.53;
55.369.77.KIT;SAIA TROPICAL CO;26/04/2020;UN;S;SAIA JEANS FEMIN;CARIOCA CRU N;FEM;ALGODÃO;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;216.11;
67.428.24.MEN;POLO HORIZONTE FEM;10/10/2024;PC;S;POLO MASC;ICARO N;MASC;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;35.39;
49.773.29.FEM;CALCA LUMIERE;20/12/2026;UN;S;CALÇA TECIDO FEMIN;ATELIE SUL PROMO;FEM;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;225.75;
48.221.44.XPT;VESTIDO VENTO LESTE;17/05/2022;PC;S;VESTIDO MIDI FEMIN;SAVANA L;FEM;COURO;;LINHA MESTRA IND E COM DE CONFEC LTDA;;126.04;
13.029.99.000;VESTIDO ICARO MASC;09/01/2026;UN;S;VESTIDO LONGO FEMIN;RAIZ L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;84.70;
20.514.97.ABC;CASACO PRAIANO;13/07/2024;PC;S;CASACO FEMIN;KAIROS N;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;301.29;
17.561.23.KIT;CALCA DUNA;25/02/2019;PC;S;CALÇA JEANS FEMIN;BOSSA N;FEM;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;84.77;
86.757.71.KIT;TOP URUCUM FEM;22/11/2018;UN;N;TOP CROPPED FEMIN;ZENITE N;FEM;ALGODÃO;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;105.31;
00.043.76.000;SAIA ORLA;27/12/2019;UN;S;SAIA JEANS FEMIN;PRAIANO N;FEM;NYLON;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;190.80;
90.142.03.ABC;SAIA BOSSA FEM;20/10/2025;PC;S;SAIA JEANS FEMIN;PRAIANO N;FEM;SARJA;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;102.49;
