EMPRESA;IDENTIFICACAO;PRODUTO_REFERENCIA;CODIGO_DE_BARRAS;TAMANHO;COR;QTDE_ESTOQUE_ATUAL;QTDE_ESTOQUE_MINIMO
73829973763116;00 - CD;19.907.34.KIT;102321403175;34;CARAMELO;12.000;0.000
73829973763116;00 - CD;15.134.15.MEN;490809756202;XG;OFF WHITE;40.000;2.000
73829973763116;00 - CD;88.078.74.XPT;703788665836;PP;ESTAMPADO;5.000;3.000
73829973763116;00 - CD;58.314.00.000;273810101082;PP;MARSALA;0.000;2.000
73829973763116;00 - CD;58.314.00.000;253916013526;44;OFF WHITE;40.000;2.000
73829973763116;00 - CD;88.727.21.XPT;563718601548;U;VINHO;0.000;3.000
73829973763116;00 - CD;88.727.21.XPT;740451302642;46;NUDE;2.000;1.000
73829973763116;00 - CD;88.727.21.XPT;593695315404;M;BRANCO;5.000;2.000
73829973763116;00 - CD;80.653.57.ABC;161728655213;38;BRANCO;1.000;3.000
73829973763116;00 - CD;80.653.57.ABC;526007294554;P;OFF WHITE;40.000;3.000
73829973763116;00 - CD;80.653.57.ABC;996901105008;42;VERDE;25.000;2.000
73829973763116;00 - CD;00.652.97.KIT;340918656250;G;AZUL;0.000;3.000
73829973763116;00 - CD;32.020.77.ABC;696185013542;44;OFF WHITE;25.000;1.000
73829973763116;00 - CD;32.020.77.ABC;858456288576;U;PRETO;8.000;1.000
73829973763116;00 - CD;32.020.77.ABC;388859540282;XG;VERDE;8.000;0.000
73829973763116;00 - CD;32.020.77.ABC;791443134718;38;ESTAMPADO;8.000;1.000
73829973763116;00 - CD;55.369.77.KIT;603229252162;M;VERDE;12.000;0.000
73829973763116;00 - CD;67.428.24.MEN;273299286289;36;BRANCO;25.000;3.000
73829973763116;00 - CD;67.428.24.MEN;671025833971;46;NUDE;3.000;3.000
73829973763116;00 - CD;49.773.29.FEM;187521593826;XG;PRETO;1.000;3.000
73829973763116;00 - CD;49.773.29.FEM;131517868237;PP;NUDE;2.000;3.000
73829973763116;00 - CD;49.773.29.FEM;769774504617;34;BRANCO;2.000;3.000
73829973763116;00 - CD;48.221.44.XPT;143768153834;36;VERDE;0.000;3.000
73829973763116;00 - CD;48.221.44.XPT;233279840313;U;CARAMELO;1.000;0.000
